Tên xe,Hãng xe,Dòng xe,Loại xe,Dung tích xe,Xuất xứ,Năm đăng ký,Chính sách bảo hành,Giá,Tên cửa hàng,Địa chỉ,Đánh giá,Đang bán,Đã bán
VISION 2024 CAO CẤP - GIÁ BT - GÓP NHẬN CAVET GỐC2024Tay gaMới36.000.000 đ23 giờ trước•Quận 8,Hãng xe:Honda,Dòng xe:Vision,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,36.000.000 đ,XE MÁY NGUYỄN MINH SƠN,"Phường 2, Quận 8, Tp Hồ Chí Minh",4.6,102đang bán,204đã bán
"Vespa LX iget mới 100% chưa đổ xăng, hàng hiếm2018Tay gaMới59.000.000 đ24 giờ trước•Quận 7",Hãng xe:Piaggio,Dòng xe:LX,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2018,Chính sách bảo hành:Bảo hành hãng,59.000.000 đ,Phạm Duy,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",,5đang bán,20đã bán
50cc ScooterINDO V882 mới 100%2024Tay gaMới21.800.000 đhôm qua•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
GÓP TẤT CẢ DÒNG XE MỚI - ĐƯA 10% - DUYỆT ONLINE -2024Tay gaMới99.999.999 đhôm qua•Quận 8,Hãng xe:Honda,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,99.999.999 đ,XE MÁY NGUYỄN MINH SƠN,"Phường 2, Quận 8, Tp Hồ Chí Minh",4.6,102đang bán,204đã bán
"Vision Trả Góp 0,79% |Giữ CAVET | Vay Tiền Mặt2024Tay gaMới2.999.999 đhôm qua•Quận 11",Hãng xe:Honda,Dòng xe:Vision,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,2.999.999 đ,Hiếu Xe Trả Góp,"Phường 5, Quận 11, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
Của hàng xe máy Minh Phượng bán các loại xe ga 50.2024Tay gaMới20.700.000 đhôm qua•Quận Phú Nhuận,Hãng xe:Nioshima,Dòng xe:Nio Fi 50cc,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,20.700.000 đ,Minh ho.,"Phường 3, Quận Phú Nhuận, Tp Hồ Chí Minh",3.8,4đang bán,9đã bán
GoGor victora 50cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đhôm qua•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
vawe 50cc bốc thăm trúng thưởng xe2024Xe sốMới14.800.000 đhôm qua•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
"KTM Duke200, BsTP 9 Chủ, xe kiểng 99%, U702022Tay côn/MotoMới47.000.000 đhôm qua•Huyện Nhà Bè",Hãng xe:KTM,Dòng xe:Duke 200,Loại xe:Tay côn/Moto,Dung tích xe:Trên 175 cc,Xuất xứ:Đức,Năm đăng ký:2022,Chính sách bảo hành:Bảo hành hãng,47.000.000 đ,Anh sáu Hoàng,"Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",,2đang bán,0đã bán
3cần tiền bán nhanh xe Nouvo 42011Tay gaMới5.700.000 đhôm qua•Quận 12Quang Sơn1đã bán1đang bánBấm để hiện sốChat,Hãng xe:Yamaha,Dòng xe:Nouvo,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nhật Bản,Năm đăng ký:2011,Chính sách bảo hành:Bảo hành hãng,5.700.000 đ,Quang Sơn,"Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",,1đang bán,1đã bán
vespa victoria 50 cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đhôm qua•Quận Tân Phú,Hãng xe:Detech,Dòng xe:Espero,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Super Dream 100cc mẫu xe mới 100% chưa lăn bánh2021Xe sốMới13.800.000 đhôm qua•Quận Phú Nhuận,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2021,Chính sách bảo hành:Bảo hành hãng,13.800.000 đ,Xe39com,"Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh",4.8,37đang bán,900đã bán
Vision 2023 Siêu lướt mới 99% như xe Thùng2023Tay gaMới34.600.000 đ2 ngày trước•Huyện Hóc Môn,Hãng xe:Honda,Dòng xe:Vision,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,34.600.000 đ,XE LƯỚT 34,"Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",4.8,2đang bán,235đã bán
Beat 2024 siêu lướt 5000 kilomet2024Tay gaMới23.800.000 đ2 ngày trước•Huyện Hóc Môn,Hãng xe:Honda,Dòng xe:Beat,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,23.800.000 đ,XE LƯỚT 34,"Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",4.8,2đang bán,235đã bán
Xe 50cc Victoria AT88 cực nét ✅2024Tay gaMới21.800.000 đ2 ngày trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:50 - 100 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
xe mới trúng thưởng thanh lý đã ra biển tp thủ Đức2024Xe sốMới19.000.000 đ3 ngày trước•Quận Gò Vấp,Hãng xe:Honda,Dòng xe:Blade,Loại xe:Xe số,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,19.000.000 đ,Nghĩa,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",,1đang bán,10đã bán
Xe nhập INDO mới 100% và 1 xe lướt 6.000km2024Tay gaMới37.500.000 đ3 ngày trước•Quận 10,Hãng xe:Honda,Dòng xe:Vision,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nhật Bản,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,37.500.000 đ,Tiến,"Phường 4, Quận 10, Tp Hồ Chí Minh",5,6đang bán,21đã bán
Xe 50cc Victoria AT88 - Pro nét căng ✅2024Tay gaMới21.800.000 đ3 ngày trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:50 - 100 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Cào Cào MTR 80cc 2 Thì . Xe Mới 100%2024Tay gaMới14.000.000 đ3 ngày trước•Quận Phú Nhuận,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:50 - 100 cc,Xuất xứ:Trung Quốc,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.000.000 đ,Ngọc Huy,"Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh",4.9,20đang bán,597đã bán
VARIO150 MỚI 100% - ÁO CLICK SIÊU ĐẸP Y HÌNH- GÓP2020Tay gaMới68.000.000 đ4 ngày trước•Quận 8,Hãng xe:Honda,Dòng xe:Vario,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2020,Chính sách bảo hành:Bảo hành hãng,68.000.000 đ,XE MÁY NGUYỄN MINH SƠN,"Phường 2, Quận 8, Tp Hồ Chí Minh",4.6,102đang bán,204đã bán
Honda Beat | Chỉ cần đưa trước 3tr | Vay tiêu dùng2024Tay gaMới31.000.000 đ4 ngày trước•Quận 8,Hãng xe:Honda,Dòng xe:Beat,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,31.000.000 đ,Hiếu Xe Trả Góp,"Phường 2, Quận 8, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
+36VESPA PRIMAVERA S 125 TRẢ GÓP ĐƠN GIẢN2024Tay gaMới80.000.000 đ4 ngày trước•Quận 1VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,80.000.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",5,36đang bán,2đã bán
4PIAGGIO LIBERTY S 125 TRẢ TRƯỚC 17TR NHẬN XE NGAY2024Tay gaMới57.700.000 đ4 ngày trước•Quận 3VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Liberty,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,57.700.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",5,36đang bán,2đã bán
+25VESPA SPRINT S 125 ABS PHÍ TRẢ GÓP 0Đ2024Tay gaMới83.300.000 đ4 ngày trước•Quận 1VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,83.300.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường Cầu Ông Lãnh, Quận 1, Tp Hồ Chí Minh",5,36đang bán,2đã bán
+36PIAGGIO MEDLEY S 125 ABS KÈM BỘ QUÀ TẶNG ĐẶC BIỆT2024Tay gaMới80.000.000 đ4 ngày trước•Quận 10VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Medley,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,80.000.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường 13, Quận 10, Tp Hồ Chí Minh",5,36đang bán,2đã bán
+36VESPA SPRINT CARBON 125 HỖ TRỢ TRẢ GÓP 0% LÃI SUẤT2024Tay gaMới84.600.000 đ4 ngày trước•Quận 3VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,84.600.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường 5, Quận 3, Tp Hồ Chí Minh",5,36đang bán,2đã bán
+36VESPA SPRINT 125 ABS 2024 - TRẢ TRƯỚC 24TR NHẬN XE2024Tay gaMới81.000.000 đ4 ngày trước•Quận 1VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,81.000.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",5,36đang bán,2đã bán
4VESPA SPRINT 125 ABS KÈM PHẦN QUÀ GIÁ TRỊ2024Tay gaMới83.300.000 đ4 ngày trước•Quận 3VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,83.300.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường 5, Quận 3, Tp Hồ Chí Minh",5,36đang bán,2đã bán
+25VESPA SPRINT S 150 ABS - COMBO QUÀ TẶNG HẤP DẪN2024Tay gaMới97.800.000 đ4 ngày trước•Quận 1VESPA TOPCOM OFFICIAL STORE5.02đã bán36đang bánBấm để hiện sốChat,Hãng xe:Piaggio,Dòng xe:Vespa,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,97.800.000 đ,VESPA TOPCOM OFFICIAL STORE,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",5,36đang bán,2đã bán
Yamaha yaz 125 vàng đen2023Tay côn/MotoMới33.000.000 đ4 ngày trước•Quận 3,Hãng xe:Yamaha,Dòng xe:YAZ,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,33.000.000 đ,Hưng Phát,"Phường 3, Quận 3, Tp Hồ Chí Minh",,7đang bán,0đã bán
"FUTURE | Lãi suất 0,79% | Hỗ trợ vay tiền mặt2024Xe sốMới38.000.000 đ4 ngày trước•Quận 8",Hãng xe:Honda,Dòng xe:Future,Loại xe:Xe số,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,38.000.000 đ,Hiếu Xe Trả Góp,"Phường 3, Quận 8, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
Victora Vepsa 50cc bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ4 ngày trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
YAMAHA PG-1 | Hỗ trợ trả góp | Hỗ trợ vay tiền2024Tay côn/MotoMới31.000.000 đ4 ngày trước•Quận 8,Hãng xe:Yamaha,Dòng xe:Dòng khác,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,31.000.000 đ,Hiếu Xe Trả Góp,"Phường 2, Quận 8, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
xe cup 82/50cc mới đài Loan bốc thăm trúng thưởng2024Xe sốMới14.800.000 đ5 ngày trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
vespa 50cc victoria bốc thăm trúng thưởng xe2024Tay gaMới21.800.000 đ5 ngày trước•Quận Tân Phú,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,21.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Xã Lỗ SH350i Lướt Biển SG Lên Đến 9 Củ Hỗ Trợ Góp2023Tay gaMới93.939.939 đ5 ngày trước•Quận 11,Hãng xe:Honda,Dòng xe:SH,Loại xe:Tay ga,Dung tích xe:Trên 175 cc,Xuất xứ:Thái Lan,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,93.939.939 đ,Tâm Kha SH,"Phường 6, Quận 11, Tp Hồ Chí Minh",,1đang bán,0đã bán
Yamaha yaz 125 vàng đen mới 98%2023Tay côn/MotoMới36.000.000 đ5 ngày trước•Quận 3,Hãng xe:Yamaha,Dòng xe:YAZ,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2023,Chính sách bảo hành:Bảo hành hãng,36.000.000 đ,Hưng Phát,"Phường 3, Quận 3, Tp Hồ Chí Minh",,7đang bán,0đã bán
khui thùng xe đạp máy 2 thì xăng pha nhớt Nhật2024Tay côn/MotoMới60.000.000 đ6 ngày trước•Quận Bình Tân,Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay côn/Moto,Dung tích xe:Dưới 50 cc,Xuất xứ:Nhật Bản,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,60.000.000 đ,Hoa Tran,"Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",,5đang bán,0đã bán
"xe cup 83,50cc Victoria mới bốc thăm trúng thưởng2024Xe sốMới15.800.000 đ6 ngày trước•Quận Tân Phú",Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Sirius 50cc Victoria bốc thăm trúng thưởng xe2024Xe sốMới15.800.000 đ6 ngày trước•Quận Tân Phú,Hãng xe:Victory,Dòng xe:Dòng khác,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,15.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
cúp đài Loan 87/50 mới 100% bốc thăm trúng thưởng2024Xe sốMới14.800.000 đ6 ngày trước•Quận Tân Phú,Hãng xe:Honda,Dòng xe:Cub,Loại xe:Xe số,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
Xe ex 155 2024 bản màu nâu sữa biển thành phố2024Tay côn/MotoMới43.000.000 đ6 ngày trước•Thành phố Thủ Đức,Hãng xe:Yamaha,Dòng xe:Exciter,Loại xe:Tay côn/Moto,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,43.000.000 đ,ngonhpro,"Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,1đang bán,6đã bán
Scoopy 110cc Nhập Indo2024Tay gaMới39.500.000 đ6 ngày trước•Quận 10,Hãng xe:Honda,Dòng xe:Scoopy,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Nước khác,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,39.500.000 đ,Phúc Hải,"Phường 13, Quận 10, Tp Hồ Chí Minh",,3đang bán,0đã bán
"BÁN XE MỚI 50cc,tặng xe 20 triệu2024Tay gaMới14.800.000 đ6 ngày trước•Quận Tân Phú",Hãng xe:Hãng khác,Dòng xe:Dòng khác,Loại xe:Tay ga,Dung tích xe:Dưới 50 cc,Xuất xứ:Đài Loan,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,14.800.000 đ,CỬA HÀNG XE MÁY PHƯỚC THỌ,"Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",4.8,58đang bán,486đã bán
"Airblade trả trước 5tr | Lãi suât 0,79% - vay tiền2024Tay gaMới4.999.999 đ6 ngày trước•Quận 11",Hãng xe:Honda,Dòng xe:Air Blade,Loại xe:Tay ga,Dung tích xe:100 - 175 cc,Xuất xứ:Việt Nam,Năm đăng ký:2024,Chính sách bảo hành:Bảo hành hãng,4.999.999 đ,Hiếu Xe Trả Góp,"Phường 5, Quận 11, Tp Hồ Chí Minh",4.7,24đang bán,2đã bán
